"Statistics","Median","Mean","SD","Min","Max"
"Recorded Data per Day (Minutes)",1440,1373.01038062284,182.529940804287,746.666666666667,1440
"Total Activity Duration per Day (Minutes)",1440,1291.8339100346,212.490515628155,466.666666666667,1440
"Total Trip Duration per Day (Minutes)",0,81.1764705882353,139.256181014048,0,1166.66666666667
"Total Trip Distance per Day (Miles)",0,7.24172482155193,28.4914170892716,0,243.096015497185
"Activity Count per Day",5,5.80622837370242,3.59646276304895,1,21
"Trip (Segment) Count per Day",4,4.4878892733564,4.23535368966819,0,24
"Trip (Complete) Count per Day",3,4.07266435986159,3.60144359966082,0,20
