"subtype_decoded","Trip Counts_All Days","Trip Counts_Weekday","Trip Duration in Minutes_All Days","Trip Duration in Minutes_Weekday","Trip Distance in Miles_All Days","Trip Distance in Miles_Weekday"
"CAR",2,2,19,19,5.92611552934743,5.92611552934743
"Total",2,2,19,19,5.92611552934743,5.92611552934743
