"Day of the Week","Total # of Days","24 hours","20 hours","16 hours","12 hours","8 hours"
NA,0,NA,NA,NA,NA,NA
"Tuesday",1,"1 (100.0%)","1 (100.0%)","1 (100.0%)","1 (100.0%)","1 (100.0%)"
NA,0,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA
NA,0,NA,NA,NA,NA,NA
"All Days",1,"1 (100.0%)","1 (100.0%)","1 (100.0%)","1 (100.0%)","1 (100.0%)"
